tableName,attributeName,dataType,domain,nullable,isUnique,isPrimary,foreignReference,purpose
address,addressId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a address record.
address,addressKind,"enum('PHYSICAL','POSTAL')","Permitted values: physical, postal.",NO,N,N,,Records the address kind of the address.
address,postalType,"enum('POBOX','PRIVATEBAG','OTHER')","Permitted values: pobox, privatebag, other.",YES,N,N,,Records the postal type of the address.
address,unitType,varchar(20),Text up to the implemented varchar(20) size.,YES,N,N,,Records the unit type of the address.
address,unitNumber,varchar(12),Text up to the implemented varchar(12) size.,YES,N,N,,Records the unit number of the address.
address,levelType,varchar(20),Text up to the implemented varchar(20) size.,YES,N,N,,Records the level type of the address.
address,levelNumber,varchar(12),Text up to the implemented varchar(12) size.,YES,N,N,,Records the level number of the address.
address,buildingName,varchar(100),Text up to the implemented varchar(100) size.,YES,N,N,,Human-readable name used for the address record.
address,placeName,varchar(100),Text up to the implemented varchar(100) size.,YES,N,N,,Human-readable name used for the address record.
address,addressNumber,varchar(20),Text up to the implemented varchar(20) size.,YES,N,N,,Records the address number of the address.
address,streetName,varchar(120),Text up to the implemented varchar(120) size.,YES,N,N,,Human-readable name used for the address record.
address,locality,varchar(80),Text up to the implemented varchar(80) size.,NO,N,N,,Records the locality of the address.
address,stateCode,"enum('ACT','NSW','NT','QLD','SA','TAS','VIC','WA')","Permitted values: act, nsw, nt, qld, sa, tas, vic, wa.",NO,N,N,,Records the state code of the address.
address,postcode,char(4),Exactly 4 numeric digits.,NO,N,N,,Records the postcode of the address.
bottletype,bottleTypeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,,Stable identifier for a bottletype record.
bottletype,capacityMl,smallint unsigned,Numeric value within the implemented MySQL type.,NO,N,N,,Records the capacity ml of the bottletype.
bottletype,bottleShape,varchar(40),Text up to the implemented varchar(40) size.,NO,N,N,,Records the bottle shape of the bottletype.
bottletype,material,"enum('GLASS','PLASTIC')","Permitted values: glass, plastic.",NO,N,N,,Records the material of the bottletype.
bottletype,bottleColour,varchar(40),Text up to the implemented varchar(40) size.,NO,N,N,,Records the bottle colour of the bottletype.
bottletype,inventoryQuantity,int unsigned,Positive numeric value.,NO,N,N,,Quantity recorded for the bottletype transaction or inventory fact.
bottletype,usualUnitCost,"decimal(8,2)",Non-negative numeric value.,NO,N,N,,Monetary value recorded for the bottletype fact in Australian dollars.
bottletype,reorderFlag,tinyint(1),TRUE/FALSE; default 1.,NO,N,N,,Indicates whether this bottle type may be reordered.
bottletype,reorderComment,varchar(500),Text up to the implemented varchar(500) size.,YES,N,N,,Required explanation when a bottle type will not be reordered.
businesscustomer,customerId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,customer.customerId,Identifies the related customer record.
businesscustomer,companyName,varchar(120),Text up to the implemented varchar(120) size.,NO,N,N,,Human-readable name used for the businesscustomer record.
businesscustomer,australianBusinessNumber,char(11),Exactly 11 numeric digits.,NO,Y,N,,Eleven-digit ABN identifying an Australian business customer.
businesscustomer,contactFirstName,varchar(50),Text up to the implemented varchar(50) size.,NO,N,N,,Human-readable name used for the businesscustomer record.
businesscustomer,contactLastName,varchar(50),Text up to the implemented varchar(50) size.,NO,N,N,,Human-readable name used for the businesscustomer record.
businesscustomer,businessType,"enum('RESTAURANT','WINESHOP','EXPORTCOMPANY','OTHER')","Permitted values: restaurant, wineshop, exportcompany, other.",NO,N,N,,Records the business type of the businesscustomer.
checkintopic,wellbeingCheckinId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,wellbeingcheckin.wellbeingCheckinId,Identifies the related wellbeingcheckin record.
checkintopic,wellbeingTopicId,char(6),Text up to the implemented char(6) size.,NO,Y,Y,wellbeingtopic.wellbeingTopicId,Identifies the related wellbeingtopic record.
correctiveaction,correctiveActionId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a correctiveaction record.
correctiveaction,incidentId,char(8),Text up to the implemented char(8) size.,NO,N,N,incident.incidentId,Identifies the related incident record.
correctiveaction,actionDescription,varchar(500),Text up to the implemented varchar(500) size.,NO,N,N,,Business description of the correctiveaction record.
correctiveaction,responsibleEmployeeId,char(7),Text up to the implemented char(7) size.,NO,N,N,employee.employeeId,Identifies the related employee record.
correctiveaction,targetDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the correctiveaction record or validity period.
correctiveaction,completedDate,date,Valid MySQL date value.,YES,N,N,,Date associated with the correctiveaction record or validity period.
correctiveaction,actionStatus,"enum('OPEN','INPROGRESS','COMPLETED','CANCELLED')","Permitted values: open, inprogress, completed, cancelled.",NO,N,N,,Records the action status of the correctiveaction.
customer,customerId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,,Stable identifier for a customer record.
customer,customerType,"enum('INDIVIDUAL','BUSINESS')","Permitted values: individual, business.",NO,N,N,,Records the customer type of the customer.
customer,emailAddress,varchar(254),Text up to the implemented varchar(254) size.,NO,Y,N,,Records the email address of the customer.
customer,isActive,tinyint(1),TRUE/FALSE; default 1.,NO,N,N,,TRUE/FALSE indicator for is active on the customer record.
customeraddress,customerId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,customer.customerId,Identifies the related customer record.
customeraddress,addressId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,address.addressId,Identifies the related address record.
customeraddress,startDateTime,datetime,Valid MySQL datetime value.,NO,Y,Y,,Inclusive start date/time of the customeraddress history period.
customeraddress,endDateTime,datetime,"NULL for current, otherwise not earlier than startDateTime.",YES,N,N,,Optional end date/time of the customeraddress history period; NULL identifies the current row.
customerorder,customerOrderId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a customerorder record.
customerorder,customerId,char(7),Text up to the implemented char(7) size.,NO,N,N,customer.customerId,Identifies the related customer record.
customerorder,receivedDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the customerorder record or validity period.
